friday,hotelId,price
2017-11-17,523756,384
2017-11-17,535667,219
2017-11-17,6232954,209
2017-11-17,5261444,211
2017-11-17,5210931,171
2017-11-17,856595,357
2017-11-17,21364,903
2017-11-17,84048,163
2017-11-17,2605,181
2017-11-17,14264,81
2017-11-17,24388,199
2017-11-17,10744,371
2017-11-17,527232,178
2017-11-17,15588,783
2017-11-17,14849368,219
2017-11-17,801796,245
2017-11-17,64749,89
2017-11-17,900985,129
2017-11-17,582415,120
2017-11-17,5459142,196
2017-11-17,387893,161
2017-11-17,14632225,240
2017-11-17,7192,214
2017-11-17,7238,117
2017-11-17,1486728,117
2017-11-17,6473,245
2017-11-17,889177,138
2017-11-17,533987,155
2017-11-17,888338,94
2017-11-17,15118004,193
2017-11-17,6490,209
2017-11-17,2752030,169
2017-11-17,1381705,132
2017-11-17,10186970,75
2017-11-17,12332,202
2017-11-17,16413,298
2017-11-17,544087,300
2017-11-17,1402870,181
2017-11-17,1886693,129
2017-11-17,1709292,128
2017-11-17,41852,118
2017-11-17,455821,389
2017-11-17,898660,183
2017-11-17,447037,164
2017-11-17,888503,79
2017-11-17,64071,107
2017-11-17,6470359,124
2017-11-17,8765476,136
2017-11-17,582065,179
2017-11-17,9683512,122
2017-11-17,3551,313
2017-11-17,1058226,185
2017-11-17,25926,234
2017-11-17,10947164,264
2017-11-17,118126,134
2017-11-17,462335,426
2017-11-17,1402005,214
2017-11-17,55005,170
2017-11-17,914141,105
2017-11-17,2023296,181
2017-11-17,21352,462
2017-11-17,1793825,266
2017-11-17,26802,288
2017-11-17,115931,111
2017-11-17,2457204,115
2017-11-17,1402886,241
2017-11-17,21659,217
2017-11-17,4923931,205
2017-11-17,8398593,121
2017-11-17,2379978,281
2017-11-17,3087913,193
2017-11-17,1381713,120
2017-11-17,11042,109
2017-11-17,888718,212
2017-11-17,26085,153
2017-11-17,14920177,104
2017-11-17,12569241,85
2017-11-17,8563,488
2017-11-17,909423,98
2017-11-17,9789,289
2017-11-17,4482313,99
2017-11-17,1160321,161
2017-11-17,55000,276
2017-11-17,16150,306
2017-11-17,8438852,149
2017-11-17,5376454,131
2017-11-17,201127,243
2017-11-17,571680,191
2017-11-17,64060,122
2017-11-17,14657359,99
2017-11-17,7422259,288
2017-11-17,582514,260
2017-11-17,14898060,137
2017-11-17,984512,191
2017-11-17,431650,214
2017-11-17,20124,235
2017-11-17,3005785,247
2017-11-17,2537960,174
2017-11-17,4506301,128
2017-11-17,15538456,469
2017-11-17,6882009,99
2017-11-17,5398121,137
2017-11-17,11742576,282
2017-11-17,922082,129
2017-11-17,1381443,113
2017-11-17,922080,94
2017-11-17,6706032,152
2017-11-17,2543847,225
2017-11-17,6413161,132
2017-11-17,11266201,248
2017-11-17,486279,145
2017-11-24,28146,385
2017-11-24,20098,607
2017-11-24,3113039,264
2017-11-24,2276,268
2017-11-24,12084011,171
2017-11-24,16363485,223
2017-11-24,5169,343
2017-11-24,888830,102
2017-11-24,3849185,665
2017-11-24,21688,170
2017-11-24,21208,668
2017-11-24,4944634,260
2017-11-24,10939,282
2017-11-24,4836998,205
2017-11-24,537268,816
2017-11-24,116041,165
2017-11-24,7606,370
2017-11-24,7082613,186
2017-11-24,179,250
2017-11-24,438636,867
2017-11-24,523228,185
2017-11-24,62755,148
2017-11-24,528337,231
2017-11-24,1585328,219
